,Player,Tm,Yr2019_20
276,T.J. Leaf,IND,"$2,813,280 "
277,Lonnie Walker,SAS,"$2,760,480 "
278,Alex Caruso,LAL,"$2,750,000 "
279,Malik Beasley,MIN,"$2,731,714 "
280,Luka Šamanić,SAS,"$2,689,920 "
281,John Collins,ATL,"$2,686,560 "
282,Kevin Huerter,ATL,"$2,636,280 "
283,Caris LeVert,BRK,"$2,625,718 "
284,Marko Guduric,MEM,"$2,625,000 "
285,DeAndre' Bembry,ATL,"$2,603,982 "
286,Matisse Thybulle,PHI,"$2,582,160 "
287,Harry Giles,SAC,"$2,578,800 "
288,Jeff Green,UTA,"$2,564,753 "
289,Pau Gasol,POR,"$2,564,753 "
290,Wesley Matthews,MIL,"$2,564,753 "
291,Kyle Korver,MIL,"$2,564,753 "
292,Udonis Haslem,MIA,"$2,564,753 "
293,Jared Dudley,LAL,"$2,564,753 "
294,Rajon Rondo,LAL,"$2,564,753 "
295,Dwight Howard,LAL,"$2,564,753 "
296,Thabo Sefolosha,HOU,"$2,564,753 "
297,Tyson Chandler,HOU,"$2,564,753 "
298,Gerald Green,DEN,"$2,564,753 "
299,J.J. Barea,DAL,"$2,564,753 "
300,Wilson Chandler,BRK,"$2,564,753 "
301,Nenê Hilário,ATL,"$2,564,753 "
302,Vince Carter,ATL,"$2,564,753 "
303,Josh Okogie,MIN,"$2,530,680 "
304,Vincent Poirier,BOS,"$2,505,793 "
305,Rondae Hollis-Jefferson,TOR,"$2,500,000 "
306,Brandon Clarke,MEM,"$2,478,840 "
307,Terrance Ferguson,OKC,"$2,475,840 "
308,Grayson Allen,MEM,"$2,429,400 "
309,Anthony Tolliver,SAC,"$2,419,852 "
310,Grant Williams,BOS,"$2,379,840 "
311,Jarrett Allen,BRK,"$2,376,840 "
312,Pascal Siakam,TOR,"$2,351,839 "
313,Skal Labissière,ATL,"$2,338,847 "
314,Chandler Hutchison,CHI,"$2,332,320 "
315,Patrick Patterson,LAC,"$2,331,593 "
316,Dejounte Murray,SAS,"$2,321,735 "
317,Alec Burks,PHI,"$2,320,044 "
318,Isaiah Thomas,LAC,"$2,320,044 "
319,Damian Jones,ATL,"$2,305,057 "
320,Darius Bazley,OKC,"$2,284,800 "
321,OG Anunoby,TOR,"$2,281,800 "
322,Ante Žižić,CLE,"$2,281,800 "
