,Player,tm,pos,yr2019_20,predicted_salary,Age,PER,pts,g,mp,ast,stl,blk
485,Abdel Nader,OKC,SF,"$1,618,520.00","$2,922,197.63",26.0,11.3,345.0,55.0,867.0,38.0,23.0,20.0
362,Josh Okogie,MIN,SG,"$2,530,680.00","$1,534,683.70",21.0,11.5,533.0,62.0,1547.0,99.0,68.0,26.0
382,Isaiah Thomas,WAS,PG,"$2,320,044.00","$12,314,746.68",30.0,11.6,488.0,40.0,925.0,146.0,13.0,6.0
330,Donte DiVincenzo,MIL,SG,"$2,905,800.00","$3,755,553.63",23.0,14.1,610.0,66.0,1520.0,154.0,85.0,20.0
455,Pat Connaughton,MIL,SG,"$1,723,050.00","$2,834,090.28",27.0,11.5,360.0,67.0,1243.0,107.0,25.0,31.0
290,Tyler Herro,MIA,SG,"$3,640,200.00","$3,759,095.40",20.0,12.5,743.0,55.0,1508.0,121.0,34.0,9.0
211,Brandon Ingram,NOP,PF,"$7,265,485.00","$15,548,098.44",22.0,18.8,1477.0,62.0,2104.0,259.0,61.0,38.0
537,Cody Martin,CHO,SF,"$1,173,310.00","$2,180,038.02",24.0,10.5,238.0,48.0,903.0,95.0,39.0,9.0
511,Jevon Carter,PHO,PG,"$1,416,852.00","$506,130.41",24.0,11.3,287.0,58.0,945.0,84.0,47.0,17.0
306,Dario Šarić,PHO,PF,"$3,481,986.00","$5,973,704.32",25.0,14.2,704.0,66.0,1632.0,123.0,37.0,16.0
486,Damyean Dotson,NYK,SG,"$1,618,520.00","$3,145,404.50",25.0,10.9,321.0,48.0,836.0,57.0,23.0,4.0
200,Jayson Tatum,BOS,PF,"$7,830,000.00","$15,495,141.11",21.0,20.4,1547.0,66.0,2265.0,200.0,93.0,57.0
232,Montrezl Harrell,LAC,C,"$6,000,000.00","$15,375,692.14",26.0,23.2,1173.0,63.0,1749.0,107.0,39.0,72.0
438,Omari Spellman,GSW,PF,"$1,897,800.00","$1,935,857.20",22.0,14.4,370.0,49.0,886.0,47.0,33.0,24.0
351,Wesley Matthews,MIL,SG,"$2,564,753.00","$9,669,602.71",33.0,8.1,494.0,67.0,1635.0,92.0,38.0,9.0
403,Moritz Wagner,WAS,C,"$2,063,520.00","$3,021,744.92",22.0,15.1,393.0,45.0,835.0,56.0,28.0,19.0
299,Danuel House,HOU,SF,"$3,540,000.00","$8,280,942.32",26.0,11.3,662.0,63.0,1913.0,85.0,67.0,34.0
484,Wesley Iwundu,ORL,SF,"$1,618,520.00","$2,463,375.39",25.0,10.3,300.0,52.0,953.0,60.0,25.0,13.0
286,P.J. Washington,CHO,PF,"$3,831,840.00","$5,535,521.94",21.0,12.4,710.0,58.0,1759.0,123.0,51.0,44.0
564,Javonte Green,BOS,SF,"$898,310.00","$1,692,360.99",26.0,13.1,163.0,48.0,468.0,26.0,24.0,8.0
223,Jaylen Brown,BOS,SF,"$6,534,829.00","$12,548,802.04",23.0,16.9,1159.0,57.0,1934.0,118.0,65.0,20.0
532,Bruno Fernando,ATL,C,"$1,400,000.00","$-3,337,351.20",21.0,11.9,240.0,56.0,713.0,49.0,18.0,17.0
322,Dwight Howard,LAL,C,"$3,039,097.00","$12,527,615.06",34.0,18.7,517.0,69.0,1306.0,45.0,31.0,79.0
280,Dorian Finney-Smith,DAL,PF,"$4,000,000.00","$7,233,960.48",26.0,12.3,678.0,71.0,2120.0,114.0,45.0,39.0
230,De'Aaron Fox,SAC,PG,"$6,392,760.00","$13,901,077.51",22.0,20.6,1077.0,51.0,1634.0,348.0,74.0,25.0
364,Rondae Hollis-Jefferson,TOR,SF,"$2,500,000.00","$3,600,210.61",25.0,15.1,418.0,60.0,1122.0,106.0,46.0,23.0
488,Sterling Brown,MIL,SF,"$1,618,520.00","$329,903.55",24.0,9.5,266.0,52.0,767.0,51.0,29.0,7.0
245,Coby White,CHI,SG,"$5,307,120.00","$2,170,083.24",19.0,11.9,859.0,65.0,1674.0,175.0,49.0,6.0
274,Mikal Bridges,PHO,SF,"$4,161,000.00","$4,648,711.73",23.0,12.9,667.0,73.0,2042.0,129.0,102.0,46.0
412,Michael Carter-Williams,ORL,SG,"$2,028,594.00","$8,544,964.77",28.0,15.3,323.0,45.0,833.0,109.0,49.0,22.0
453,Raul Neto,PHI,PG,"$1,737,145.00","$3,047,462.42",27.0,12.7,275.0,54.0,668.0,95.0,24.0,6.0
512,Elie Okobo,PHO,PG,"$1,416,852.00","$-2,402,702.09",22.0,10.6,219.0,55.0,719.0,115.0,24.0,4.0
402,Torrey Craig,DEN,SF,"$2,100,000.00","$5,666,299.85",29.0,10.8,315.0,58.0,1072.0,47.0,23.0,36.0
384,Darius Bazley,OKC,PF,"$2,284,800.00","$-3,908,645.12",19.0,9.6,342.0,61.0,1130.0,41.0,23.0,41.0
196,Lou Williams,LAC,SG,"$8,000,000.00","$20,853,913.30",33.0,17.3,1185.0,65.0,1864.0,365.0,43.0,12.0
451,Mario Hezonja,POR,PF,"$1,737,145.00","$429,341.64",24.0,9.5,256.0,53.0,871.0,50.0,36.0,9.0
490,Semi Ojeleye,BOS,PF,"$1,618,520.00","$-3,275,494.14",25.0,7.7,236.0,69.0,1011.0,37.0,21.0,5.0
428,Tony Bradley,UTA,C,"$1,962,360.00","$-861,639.27",22.0,21.7,285.0,58.0,663.0,23.0,14.0,33.0
267,Rui Hachimura,WAS,PF,"$4,469,160.00","$5,374,037.60",21.0,13.5,649.0,48.0,1444.0,87.0,37.0,8.0
272,Cam Reddish,ATL,SF,"$4,245,720.00","$1,906,936.61",20.0,9.0,610.0,58.0,1551.0,87.0,62.0,28.0
456,Jahlil Okafor,NOP,C,"$1,702,486.00","$6,477,956.47",24.0,18.3,243.0,30.0,467.0,37.0,7.0,22.0
335,Lonnie Walker,SAS,SG,"$2,760,480.00","$-2,422,833.76",21.0,10.5,389.0,61.0,988.0,68.0,32.0,14.0
279,Malik Monk,CHO,SG,"$4,028,400.00","$1,994,587.90",21.0,12.6,564.0,55.0,1169.0,114.0,25.0,16.0
246,Lauri Markkanen,CHI,PF,"$5,300,400.00","$7,251,596.89",22.0,14.3,737.0,50.0,1492.0,74.0,42.0,23.0
489,Dwayne Bacon,CHO,SG,"$1,618,520.00","$2,353,242.16",24.0,6.1,224.0,39.0,687.0,52.0,23.0,2.0
184,Ja Morant,MEM,PG,"$8,730,240.00","$10,387,422.00",20.0,17.4,1193.0,67.0,2074.0,488.0,58.0,18.0
367,Grayson Allen,MEM,SG,"$2,429,400.00","$4,522,337.70",24.0,12.0,330.0,38.0,718.0,52.0,10.0,2.0
263,Garrett Temple,BRK,SG,"$4,767,000.00","$14,165,703.50",33.0,10.5,641.0,62.0,1730.0,156.0,49.0,29.0
534,Alfonzo McKinnie,CLE,SF,"$1,361,046.00","$4,473,770.97",27.0,8.7,182.0,40.0,593.0,14.0,23.0,8.0
354,Rajon Rondo,LAL,PG,"$2,564,753.00","$12,723,337.56",33.0,12.4,342.0,48.0,984.0,240.0,40.0,2.0
383,Damian Jones,ATL,C,"$2,305,057.00","$2,072,778.43",24.0,15.6,306.0,55.0,887.0,35.0,26.0,40.0
303,T.J. McConnell,IND,PG,"$3,500,000.00","$5,289,023.13",27.0,16.5,464.0,71.0,1326.0,355.0,56.0,11.0
462,Cheick Diallo,PHO,C,"$1,678,854.00","$271,588.34",23.0,16.5,219.0,47.0,479.0,22.0,11.0,12.0
206,Joe Harris,BRK,SF,"$7,670,000.00","$12,284,663.39",28.0,13.3,998.0,69.0,2123.0,144.0,41.0,17.0
336,Alex Caruso,LAL,PG,"$2,750,000.00","$1,616,666.68",25.0,10.8,349.0,64.0,1175.0,124.0,70.0,18.0
457,Rodions Kurucs,BRK,PF,"$1,699,236.00","$-2,027,495.82",21.0,8.9,215.0,47.0,684.0,51.0,25.0,5.0
262,Justin Holiday,IND,SG,"$4,767,000.00","$9,214,817.43",30.0,12.1,603.0,73.0,1826.0,93.0,87.0,46.0
233,Ish Smith,WAS,PG,"$5,853,659.00","$13,762,034.74",31.0,13.9,740.0,68.0,1787.0,334.0,59.0,30.0
377,Patrick Patterson,LAC,PF,"$2,331,593.00","$4,134,680.97",30.0,11.5,292.0,59.0,776.0,41.0,7.0,3.0
278,Cameron Johnson,PHO,PF,"$4,033,440.00","$2,984,143.70",23.0,12.9,504.0,57.0,1255.0,69.0,36.0,20.0
160,Spencer Dinwiddie,BRK,SG,"$10,600,000.00","$17,136,126.61",26.0,17.8,1318.0,64.0,1994.0,432.0,40.0,21.0
562,Caleb Martin,CHO,SF,"$898,310.00","$6,443,613.21",24.0,12.0,111.0,18.0,317.0,23.0,12.0,7.0
210,Derrick Rose,DET,PG,"$7,317,073.00","$18,661,575.20",31.0,21.0,904.0,50.0,1298.0,278.0,40.0,16.0
439,Shabazz Napier,WAS,PG,"$1,882,867.00","$11,976,895.22",28.0,13.8,231.0,20.0,488.0,75.0,29.0,4.0
158,T.J. Warren,IND,SF,"$10,810,000.00","$15,711,994.63",26.0,18.4,1326.0,67.0,2202.0,99.0,78.0,34.0
347,Harry Giles,SAC,PF,"$2,578,800.00","$740,736.34",21.0,16.4,316.0,46.0,667.0,60.0,22.0,18.0
222,Nemanja Bjelica,SAC,PF,"$6,825,000.00","$13,988,438.71",31.0,15.7,831.0,72.0,2011.0,203.0,62.0,40.0
250,Daniel Theis,BOS,C,"$5,000,000.00","$9,322,696.11",27.0,17.9,601.0,65.0,1566.0,111.0,37.0,84.0
216,Dāvis Bertāns,WAS,PF,"$7,000,000.00","$12,495,813.66",27.0,15.5,834.0,54.0,1583.0,92.0,37.0,33.0
346,Matisse Thybulle,PHI,SG,"$2,582,160.00","$-794,973.08",22.0,10.0,305.0,65.0,1287.0,79.0,94.0,47.0
361,Vince Carter,ATL,SF,"$2,564,753.00","$16,294,272.57",43.0,7.5,298.0,60.0,876.0,48.0,23.0,25.0
