,Player,tm,pos,yr2019_20,avg_cost_per_pt,Age,PER,pts,g,mp,ast,stl,blk
48,Anfernee Simons,POR,SG,2149560.0,3712.54,20.0,9.0,579.0,70.0,1449.0,97.0,26.0,10.0
49,Shake Milton,PHI,SG,1445697.0,3834.74,23.0,14.4,377.0,40.0,805.0,104.0,20.0,7.0
50,Kevin Huerter,ATL,SG,2636280.0,3854.21,21.0,11.5,684.0,56.0,1760.0,213.0,51.0,27.0
51,Chris Boucher,TOR,PF,1588231.0,3864.31,27.0,20.7,411.0,62.0,819.0,26.0,22.0,61.0
52,Jordan Poole,GSW,SG,1964760.0,3906.08,20.0,7.2,503.0,57.0,1274.0,134.0,35.0,10.0
53,Cedi Osman,CLE,SF,2907143.0,4048.95,24.0,10.7,718.0,65.0,1910.0,154.0,54.0,16.0
54,Landry Shamet,LAC,SG,1995120.0,4055.12,22.0,8.5,492.0,53.0,1452.0,99.0,20.0,10.0
55,Bryn Forbes,SAS,SG,2875000.0,4066.48,26.0,11.1,707.0,63.0,1579.0,108.0,33.0,0.0
56,Jamal Murray,DEN,PG,4444746.0,4074.01,22.0,17.7,1091.0,59.0,1904.0,284.0,67.0,17.0
57,Daniel Gafford,CHI,C,898310.0,4083.23,21.0,16.2,220.0,43.0,609.0,21.0,13.0,56.0
58,Georges Niang,UTA,PF,1678854.0,4282.79,26.0,11.7,392.0,66.0,923.0,44.0,18.0,5.0
59,Isaac Bonga,WAS,SF,1416852.0,4293.49,20.0,10.2,330.0,66.0,1250.0,76.0,45.0,22.0
60,Shaquille Harrison,CHI,SF,898310.0,4298.13,26.0,17.8,209.0,43.0,484.0,49.0,34.0,19.0
61,Frank Jackson,NOP,PG,1618520.0,4362.59,21.0,9.1,371.0,59.0,797.0,61.0,17.0,4.0
62,Luka Dončić,DAL,PG,7683360.0,4368.03,20.0,27.6,1759.0,61.0,2047.0,538.0,62.0,14.0
63,Emmanuel Mudiay,UTA,PG,1737145.0,4397.84,23.0,13.0,395.0,54.0,850.0,116.0,24.0,10.0
64,Matt Thomas,TOR,SG,898310.0,4447.08,25.0,13.3,202.0,41.0,440.0,22.0,10.0,1.0
65,Miles Bridges,CHO,SF,3755400.0,4454.8,21.0,12.1,843.0,65.0,1995.0,114.0,40.0,48.0
66,Hamidou Diallo,OKC,SF,1416852.0,4455.51,21.0,9.3,318.0,46.0,896.0,36.0,37.0,9.0
67,Nerlens Noel,OKC,C,2028594.0,4518.03,25.0,20.4,449.0,61.0,1127.0,57.0,59.0,91.0
68,Abdel Nader,OKC,SF,1618520.0,4691.36,26.0,11.3,345.0,55.0,867.0,38.0,23.0,20.0
69,Josh Okogie,MIN,SG,2530680.0,4747.99,21.0,11.5,533.0,62.0,1547.0,99.0,68.0,26.0
70,Isaiah Thomas,WAS,PG,2320044.0,4754.19,30.0,11.6,488.0,40.0,925.0,146.0,13.0,6.0
71,Donte DiVincenzo,MIL,SG,2905800.0,4763.61,23.0,14.1,610.0,66.0,1520.0,154.0,85.0,20.0
72,Pat Connaughton,MIL,SG,1723050.0,4786.25,27.0,11.5,360.0,67.0,1243.0,107.0,25.0,31.0
73,Tyler Herro,MIA,SG,3640200.0,4899.33,20.0,12.5,743.0,55.0,1508.0,121.0,34.0,9.0
74,Brandon Ingram,NOP,PF,7265485.0,4919.08,22.0,18.8,1477.0,62.0,2104.0,259.0,61.0,38.0
75,Cody Martin,CHO,SF,1173310.0,4929.87,24.0,10.5,238.0,48.0,903.0,95.0,39.0,9.0
76,Jevon Carter,PHO,PG,1416852.0,4936.77,24.0,11.3,287.0,58.0,945.0,84.0,47.0,17.0
77,Dario Šarić,PHO,PF,3481986.0,4946.0,25.0,14.2,704.0,66.0,1632.0,123.0,37.0,16.0
78,Damyean Dotson,NYK,SG,1618520.0,5042.12,25.0,10.9,321.0,48.0,836.0,57.0,23.0,4.0
79,Jayson Tatum,BOS,PF,7830000.0,5061.41,21.0,20.4,1547.0,66.0,2265.0,200.0,93.0,57.0
80,Montrezl Harrell,LAC,C,6000000.0,5115.09,26.0,23.2,1173.0,63.0,1749.0,107.0,39.0,72.0
81,Omari Spellman,GSW,PF,1897800.0,5129.19,22.0,14.4,370.0,49.0,886.0,47.0,33.0,24.0
82,Wesley Matthews,MIL,SG,2564753.0,5191.81,33.0,8.1,494.0,67.0,1635.0,92.0,38.0,9.0
83,Moritz Wagner,WAS,C,2063520.0,5250.69,22.0,15.1,393.0,45.0,835.0,56.0,28.0,19.0
84,Danuel House,HOU,SF,3540000.0,5347.43,26.0,11.3,662.0,63.0,1913.0,85.0,67.0,34.0
85,Wesley Iwundu,ORL,SF,1618520.0,5395.07,25.0,10.3,300.0,52.0,953.0,60.0,25.0,13.0
86,P.J. Washington,CHO,PF,3831840.0,5396.96,21.0,12.4,710.0,58.0,1759.0,123.0,51.0,44.0
87,Javonte Green,BOS,SF,898310.0,5511.1,26.0,13.1,163.0,48.0,468.0,26.0,24.0,8.0
88,Jaylen Brown,BOS,SF,6534829.0,5638.33,23.0,16.9,1159.0,57.0,1934.0,118.0,65.0,20.0
89,Bruno Fernando,ATL,C,1400000.0,5833.33,21.0,11.9,240.0,56.0,713.0,49.0,18.0,17.0
90,Dwight Howard,LAL,C,3039097.0,5878.33,34.0,18.7,517.0,69.0,1306.0,45.0,31.0,79.0
91,Dorian Finney-Smith,DAL,PF,4000000.0,5899.71,26.0,12.3,678.0,71.0,2120.0,114.0,45.0,39.0
92,De'Aaron Fox,SAC,PG,6392760.0,5935.71,22.0,20.6,1077.0,51.0,1634.0,348.0,74.0,25.0
93,Rondae Hollis-Jefferson,TOR,SF,2500000.0,5980.86,25.0,15.1,418.0,60.0,1122.0,106.0,46.0,23.0
94,Sterling Brown,MIL,SF,1618520.0,6084.66,24.0,9.5,266.0,52.0,767.0,51.0,29.0,7.0
95,Coby White,CHI,SG,5307120.0,6178.25,19.0,11.9,859.0,65.0,1674.0,175.0,49.0,6.0
96,Mikal Bridges,PHO,SF,4161000.0,6238.38,23.0,12.9,667.0,73.0,2042.0,129.0,102.0,46.0
97,Michael Carter-Williams,ORL,SG,2028594.0,6280.48,28.0,15.3,323.0,45.0,833.0,109.0,49.0,22.0
98,Raul Neto,PHI,PG,1737145.0,6316.89,27.0,12.7,275.0,54.0,668.0,95.0,24.0,6.0
