player,tm,pos,pts,g,mp,ast,stl,blk,yr2019_20,avg_cost_per_pt,Salary Per Minute
Jonah Bolden,PHO,PF,6,3,33,0,2,2,1698450,283075,51468.18
Georges Niang,UTA,PF,392,66,923,44,18,5,1678854,4282.79,1818.91
Cheick Diallo,PHO,C,219,47,479,22,11,12,1678854,7666,3504.91
Dragan Bender,GSW,SF,81,9,195,19,4,4,1678854,20726.59,8609.51
David Nwaba,BRK,SF,104,20,268,8,11,12,1678854,16142.83,6264.38
Treveon Graham,ATL,SG,72,22,266,15,7,4,1678854,23317.42,6311.48
Willy Hernangómez,CHO,C,190,31,375,29,10,7,1676735,8824.92,4471.29
Derrick Jones,,,,,,,,,1645357,,
Jordan McRae,DET,SG,47,4,98,7,0,0,1645357,35007.6,16789.36
Christian Wood,DET,PF,810,62,1325,60,34,54,1645357,2031.3,1241.78
Furkan Korkmaz,PHI,SG,704,72,1559,79,41,16,1620564,2301.94,1039.49
Jordan Bell,MEM,PF,10,2,21,2,1,0,1620564,162056.4,77169.71
Justin Patton,OKC,C,9,5,24,2,0,0,1620564,180062.67,67523.5
Royce O'Neale,UTA,PF,450,71,2049,180,59,32,1618520,3596.71,789.91
Dillon Brooks,MEM,SG,1181,73,2112,150,63,27,1618520,1370.47,766.34
Wesley Iwundu,ORL,SF,300,52,953,60,25,13,1618520,5395.07,1698.34
Abdel Nader,OKC,SF,345,55,867,38,23,20,1618520,4691.36,1866.81
Damyean Dotson,NYK,SG,321,48,836,57,23,4,1618520,5042.12,1936.03
Frank Jackson,NOP,PG,371,59,797,61,17,4,1618520,4362.59,2030.77
Sterling Brown,MIL,SF,266,52,767,51,29,7,1618520,6084.66,2110.2
Dwayne Bacon,CHO,SG,224,39,687,52,23,2,1618520,7225.54,2355.92
Semi Ojeleye,BOS,PF,236,69,1011,37,21,5,1618520,6858.14,1600.91
Chris Boucher,TOR,PF,411,62,819,26,22,61,1588231,3864.31,1939.23
Malcolm Miller,TOR,SF,35,28,162,11,5,2,1588231,45378.03,9803.9
Monte Morris,DEN,PG,660,73,1636,255,55,17,1588231,2406.41,970.8
Mitchell Robinson,NYK,C,590,61,1412,36,52,119,1559712,2643.58,1104.61
Vlatko Čančar,DEN,SF,17,14,45,3,1,1,1517981,89293,33732.91
Isaiah Roby,OKC,SF,0,3,11,0,0,0,1500000,inf,136363.64
Nigel Williams-Goss,UTA,PG,14,10,50,6,3,1,1500000,107142.86,30000
J.R. Smith,LAL,SG,17,6,79,3,1,0,1456667,85686.29,18438.82
Shake Milton,PHI,SG,377,40,805,104,20,7,1445697,3834.74,1795.9
Thanasis Antetokounmpo,MIL,SF,55,20,129,15,7,2,1445697,26285.4,11206.95
Amile Jefferson,ORL,PF,15,18,74,4,1,3,1445697,96379.8,19536.45
Theo Pinson,BRK,SG,120,33,365,56,17,4,1445697,12047.48,3960.81
Brad Wanamaker,BOS,PG,487,71,1369,179,61,14,1445697,2968.58,1056.02
Derrick Walton,DET,PG,3,3,26,5,3,0,1445697,481899,55603.73
Ryan Broekhoff,DAL,SG,71,17,180,11,5,4,1443842,20335.8,8021.34
