,Player,Team,2019-20
313,Denzel Valentine,CHI,3377569
314,Juan Hernangómez,MIN,3321030
315,Juan Hernangómez,MIN,3321030
316,Juan Hernangómez,MIN,3321030
317,Sekou Doumbouya,DET,3285120
318,Justin Jackson,DAL,3280920
319,Yogi Ferrell,SAC,3150000
320,Zhaire Smith,PHI,3058800
321,Dwight Howard,MEM,3039097
322,Dwight Howard,LAL,2564753
323,Khem Birch,ORL,3000000
324,Ryan Arcidiacono,CHI,3000000
325,Quinn Cook,LAL,3000000
326,Nickeil Alexander-Walker,NOP,2964840
327,D.J. Wilson,MIL,2961120
328,Cedi Osman,CLE,2907143
329,Donte DiVincenzo,MIL,2905800
330,Bryn Forbes,SAS,2875000
331,Goga Bitadze,IND,2816760
332,T.J. Leaf,IND,2813280
333,Lonnie Walker,SAS,2760480
334,Alex Caruso,LAL,2750000
335,Malik Beasley,MIN,2731714
336,Malik Beasley,MIN,2731714
337,Malik Beasley,MIN,2731714
338,Luka Šamanić,SAS,2689920
339,John Collins,ATL,2686560
340,Kevin Huerter,ATL,2636280
341,Caris LeVert,BRK,2625718
342,Marko Guduric,MEM,2625000
343,DeAndre' Bembry,ATL,2603982
344,Matisse Thybulle,PHI,2582160
345,Harry Giles,SAC,2578800
346,Jeff Green,UTA,2564753
347,Jeff Green,UTA,2564753
348,Jeff Green,UTA,2564753
349,Jeff Green,HOU,695526
350,Jeff Green,HOU,695526
351,Jeff Green,HOU,695526
352,Jeff Green,HOU,144901
353,Jeff Green,HOU,144901
354,Jeff Green,HOU,144901
355,Wesley Matthews,MIL,2564753
356,Udonis Haslem,MIA,2564753
357,Jared Dudley,LAL,2564753
358,Rajon Rondo,LAL,2564753
359,Thabo Sefolosha,HOU,2564753
360,Tyson Chandler,HOU,2564753
361,J.J. Barea,DAL,2564753
362,Wilson Chandler,BRK,2564753
363,Vince Carter,ATL,2564753
364,Josh Okogie,MIN,2530680
365,Vincent Poirier,BOS,2505793
366,Rondae Hollis-Jefferson,TOR,2500000
367,Brandon Clarke,MEM,2478840
368,Terrance Ferguson,OKC,2475840
369,Grayson Allen,MEM,2429400
370,Anthony Tolliver,SAC,2419852
371,Anthony Tolliver,SAC,2419852
372,Anthony Tolliver,SAC,2419852
373,Anthony Tolliver,SAC,2419852
374,Anthony Tolliver,MEM,289803
375,Anthony Tolliver,MEM,289803
376,Anthony Tolliver,MEM,289803
377,Anthony Tolliver,MEM,289803
378,Anthony Tolliver,MEM,144901
379,Anthony Tolliver,MEM,144901
380,Anthony Tolliver,MEM,144901
381,Anthony Tolliver,MEM,144901
382,Grant Williams,BOS,2379840
383,Jarrett Allen,BRK,2376840
384,Pascal Siakam,TOR,2351839
385,Skal Labissière,ATL,2338847
386,Chandler Hutchison,CHI,2332320
387,Patrick Patterson,LAC,2331593
388,Patrick Patterson,OKC,737067
389,Dejounte Murray,SAS,2321735
390,Alec Burks,PHI,2320044
391,Alec Burks,PHI,2320044
392,Alec Burks,PHI,2320044
393,Isaiah Thomas,LAC,2320044
394,Damian Jones,ATL,2305057
395,Darius Bazley,OKC,2284800
396,OG Anunoby,TOR,2281800
397,Ante Žižić,CLE,2281800
398,Markieff Morris,DET,2241808
399,Markieff Morris,DET,2241808
400,Markieff Morris,DET,2241808
401,Markieff Morris,LAL,1750000
402,Markieff Morris,LAL,1750000
403,Markieff Morris,LAL,1750000
404,Aaron Holiday,IND,2239200
405,Luke Kornet,CHI,2195122
406,Ty Jerome,PHO,2193480
407,Willie Cauley-Stein,DAL,2177483
408,Willie Cauley-Stein,DAL,2177483
409,Willie Cauley-Stein,DAL,2177483
410,Austin Rivers,HOU,2174318
